"Ref_lead_author","Ref_publication_date","Ref_title","Ref_html_link","Ref_DOI_number","Substrate","HTL","Perovskite_composition","Perovskite_composition_short_form","Perovskite_composition_a_ions","Perovskite_composition_a_ions_coefficients","Perovskite_composition_b_ions","Perovskite_composition_b_ions_coefficients","Perovskite_composition_c_ions","Perovskite_composition_c_ions_coefficients","ETL","Top_contact","Cell_flexible","Cell_architecture","HTL_deposition","HTL_spin_coating_parameters","HTL_annealing_parameters","Perovskite_deposition","Perovskite_spin_coating_parameters","Perovskite_annealing_parameters","ETL_deposition","ETL_spin_coating_parameters","ETL_annealing_parameters","Top_contact_deposition","Top_contact_thickness"
"Zhang, Wei","2015-11-30","Enhanced optoelectronic quality of perovskite thin films with hypophosphorous acid for planar heterojunction solar cells","https://www.nature.com/articles/ncomms10030","10.1038/ncomms10030","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Ag","FALSE","nip","Spin-coating","2000 rpm 45 s","","Spin-coating","2000 rpm 45 s","100 C 5 min","Spin-coating","","500 C 30 min","Evaporation","80-120 nm"
"Li, Yaowen","2016-01-11","High-efficiency robust perovskite solar cells on ultrathin flexible substrates","https://www.nature.com/articles/ncomms10214","10.1038/ncomms10214","PET | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PCBM","Al","TRUE","pin","Spin-coating","2000 rpm 20 min","","Spin-coating","","","Spin-coating","","","Evaporation","100 nm"
"Zhao, Yicheng","2016-01-06","A polymer scaffold for self-healing perovskite solar cells","https://www.nature.com/articles/ncomms10228","10.1038/ncomms10228","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","3000 rpm 40 s","","Spin-coating","500 rpm 10 s 5500 rpm 30 s","105 C 70 min","","","","Evaporation","60-100 nm"
"Giordano, Fabrizio","2016-01-13","Enhanced electronic properties in mesoporous TiO2 via lithium doping for high-efficiency perovskite solar cells","https://www.nature.com/articles/ncomms10379","10.1038/ncomms10379","SLG | FTO","spiro-ometad","(FAPbI3)0.85(MAPbBr3)0.15","FAPbIMAPbBr","MA, FA","0.15, 0.85","Pb, Pb","0.15, 0.85","Br, I","0.45, 2.55","TiO2","Au","FALSE","nip","Spin-coating","2000 rpm 20 s","","Spin-coating","1000 rpm 10 s 4000 rpm 30 s","","Spin-coating","","","Evaporation","60-100 nm"
"Tai, Qidong","2016-04-01","Efficient and stable perovskite solar cells prepared in ambient air irrespective of the humidity","https://www.nature.com/articles/ncomms11105","10.1038/ncomms11105","SLG | FTO","spiro-meotad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","4000 rpm 60 s","","Spin-coating","3000 rpm 20 s","","Spin-coating","3000 rpm 20 s","","Evaporation","80 nm"
"Nie, Wanyi","2016-05-16","Light-activated photocurrent degradation and self-healing in perovskite solar cells","https://www.nature.com/articles/ncomms11574","10.1038/ncomms11574","SLG | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PCBM","Al","FALSE","pin","","","","","","","","","","Evaporation",""
"Kim, Byeong Jo","2016-05-23","Selective dissolution of halide perovskites as a step towards recycling solar cells","https://www.nature.com/articles/ncomms11735","10.1038/ncomms11735","SLG | FTO","spiro-meotad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","4000 rpm 30 s","","Spin-coating","1000 rpm 10 s 5000 rpm 30 s","","Spin-coating","3000 rpm 20 s","","Evaporation","60-100 nm"
"Li, Yanbo","2016-08-18","Defective TiO2 with high photoconductive gain for efficient and stable planar heterojunction perovskite solar cells","https://www.nature.com/articles/ncomms12446","10.1038/ncomms12446","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","3000 rpm 30 s","","Spin-coating","1500 rpm 3 min","","Spin-coating","","500 C 30 min","Evaporation","100 nm"
"Crespo-Quesada, Micaela","2016-09-06","Metal-encapsulated organolead halide perovskite photocathode for solar-driven hydrogen evolution in water","https://www.nature.com/articles/ncomms12555","10.1038/ncomms12555","SLG | FTO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PCBM","Ag","FALSE","pin","Spin-coating","4000 rpm 60 s","120 C 20 min","Spin-coating","5000 rpm 30 s","30 C 10 min","Spin-coating","3000 rpm 45 s","","Evaporation","100 nm"
"Bai, Yang","2016-10-05","Enhancing stability and efficiency of perovskite solar cells with crosslinkable silane-functionalized and doped fullerene","https://www.nature.com/articles/ncomms12806","10.1038/ncomms12806","SLG | ITO","PTAA","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","c60-sam","Cu","FALSE","pin","Spin-coating","","100 C 10 min","Spin-coating","6000 rpm 35 s","","Spin-coating","6000 rpm 35 s","100 C 60 min","Evaporation","80 nm"
"Li, Chao","2016-11-11","Wearable energy-smart ribbons for synchronous energy harvest and storage","https://www.nature.com/articles/ncomms13319","10.1038/ncomms13319","PET | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PCBM","Cu","TRUE","pin","Spin-coating","","120 C 30 min","Spin-coating","3000 rpm 45 s","","Spin-coating","1000 rpm 45 s","","Evaporation","80-100 nm"
"Ahn, Namyoung","2016-11-10","Trapped charge-driven degradation of perovskite solar cells","https://www.nature.com/articles/ncomms13422","10.1038/ncomms13422","SLG | ITO","spiro-meotad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","2000 rpm 30 s","","Spin-coating","4000 rpm 20 s","130 C 20 min","Spin-coating","700 rpm 8 s","","Evaporation","50 nm"
"Long, Mingzhu","2016-11-15","Nonstoichiometric acid–base reaction as reliable synthetic route to highly stable CH3NH3PbI3 perovskite film","https://www.nature.com/articles/ncomms13503","10.1038/ncomms13503","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","5000 rpm 40 s","","Spin-coating","2500 rpm 30 min","100 C 30 min","Spin-coating","5000 rpm 40 s","500 C 30 min","Evaporation","80 nm"
"Brinkmann, K.O.","2017-01-09","Suppressed decomposition of organometal halide perovskites by impermeable electron-extraction layers in inverted solar cells","https://www.nature.com/articles/ncomms13938","10.1038/ncomms13938","SLG | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","AZO","Al","FALSE","pin","Spin-coating","","100 C 80 min","Spin-coating","","100 C 80 min","","","","Evaporation","10 nm"
"Pool, Vanessa L.","2017-01-17","Thermal engineering of FAPbI3 perovskite material via radiative thermal annealing and in situ XRD","https://www.nature.com/articles/ncomms14075","10.1038/ncomms14075","SLG | FTO","spiro-ometad","FAPbI3","FAPbI","FA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","","","","Spin-coating","500 rpm 3 s 3500 rpm 10 s 5000 rpm 30 s","","Spin-coating","700 rpm 10 s","500 C 1 h","Evaporation","60-100 nm"
"Rong, Yaoguang","2017-02-27","Synergy of ammonium chloride and moisture on perovskite crystallization for efficient printable mesoscopic solar cells","https://www.nature.com/articles/ncomms14555","10.1038/ncomms14555","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","carbon","FALSE","nip","","","","","","","","","","Screen printing",""
"García de Arquer, F. Pelayo","2017-03-24","Field-emission from quantum-dot-in-perovskite solids","https://www.nature.com/articles/ncomms14757","10.1038/ncomms14757","SLG | FTO","spiro-meotad","MAPbI2.5Br0.5","MAPbIBr","MA","1.0","Pb","1.0","Br, I","0.5, 2.5","TiO2","Au","FALSE","nip","Spin-coating","4000 rpm 30 s","","Spin-coating","","70 C 10 min","","","","Evaporation","100 nm"
"Aristidou, Nicholas","2017-05-11","Fast oxygen diffusion and iodide defects mediate oxygen-induced degradation of perovskite solar cells","https://www.nature.com/articles/ncomms15218","10.1038/ncomms15218","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","","","Spin-coating","4000 rpm 5 min","100 C 5 min","Spin-coating","5000 rpm 30 s","","Evaporation","60-100 nm"
