"Ref_lead_author","Ref_publication_date","Ref_title","Ref_html_link","Ref_DOI_number","Substrate","HTL","Perovskite_composition","Perovskite_composition_short_form","Perovskite_composition_a_ions","Perovskite_composition_a_ions_coefficients","Perovskite_composition_b_ions","Perovskite_composition_b_ions_coefficients","Perovskite_composition_c_ions","Perovskite_composition_c_ions_coefficients","ETL","Top_contact","Cell_flexible","Cell_architecture","HTL_deposition","HTL_spin_coating_parameters","HTL_annealing_parameters","Perovskite_deposition","Perovskite_spin_coating_parameters","Perovskite_annealing_parameters","ETL_deposition","ETL_spin_coating_parameters","ETL_annealing_parameters","Top_contact_deposition","Top_contact_thickness"
"Kim, Min","2021-01-04","Moisture resistance in perovskite solar cells attributed to a water-splitting layer","https://www.nature.com/articles/s43246-020-00104-z","10.1038/s43246-020-00104-z","SLG | ITO","P3HT","(FAPbI3)0.87(CsPbBr3)0.13","FAPbICsPbBr","Cs, FA","0.13, 0.87","Pb, Pb","0.13, 0.87","Br, I","0.39, 2.61","SnO2","Au","FALSE","","Spin-coating","","","Spin-coating","1000 rpm 10 s 4000 rpm 30 s","","Spin-coating","","180 C 1 h","Evaporation","60-100 nm"
"Tumen-Ulzii, Ganbaatar","2020-05-22","Hysteresis-less and stable perovskite solar cells with a self-assembled monolayer","https://www.nature.com/articles/s43246-020-0028-z","10.1038/s43246-020-0028-z","SLG | ITO","spiro-ometad","UNKNOWN","","","","","","","","SnO2","Au","FALSE","nip","Spin-coating","4000 rpm 30 s","","Spin-coating","1000 rpm 10 s 6000 rpm 30 s","","Spin-coating","3000 rpm 30 s","150 C 30 min","Evaporation","100 nm"
"Zuo, Chuantian","2020-06-05","Crystallisation control of drop-cast quasi-2D/3D perovskite layers for efficient solar cells","https://www.nature.com/articles/s43246-020-0036-z","10.1038/s43246-020-0036-z","PET | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PC61BM","Ag","TRUE","pin","Spin-coating","5000 rpm 30 s","","Spin-coating","","","Spin-coating","1000 rpm 30 s","","Evaporation","100 nm"
"Hu, Juntao","2022-06-21","Tracking the evolution of materials and interfaces in perovskite solar cells under an electric field","https://www.nature.com/articles/s43246-022-00262-2","10.1038/s43246-022-00262-2","SLG | ITO","PTAA","(Cs0.05FA0.85MA0.10)0.95Pb(I0.85Br0.15)3","CsFAMAPbIBr","MA, FA, Cs","0.1, 0.81, 0.05","Pb","1.0","Br, I","0.45, 2.55","PCBM","Cu","FALSE","","Spin-coating","5000 rpm 30 s","120 C 10 min","Spin-coating","","100 C 5 min","Spin-coating","5000 rpm 30 s","","Evaporation","100 nm"
"Zhang, Deyi","2022-08-29","Degradation pathways in perovskite solar cells and how to meet international standards","https://www.nature.com/articles/s43246-022-00281-z","10.1038/s43246-022-00281-z","SLG | ITO","spiro-ometad","FAPbI3","FAPbI","FA","1.0","Pb","1.0","I","3.0","SnO2","carbon","FALSE","","","","","","","","","","","Evaporation","60-100 nm"
"Mokhtar, Muhamad Z.","2022-10-19","Spherical hydroxyapatite nanoparticle scaffolds for reduced lead release from damaged perovskite solar cells","https://www.nature.com/articles/s43246-022-00299-3","10.1038/s43246-022-00299-3","SLG | ITO","spiro-ometad","FAPbI3","FAPbI","FA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","4000 rpm 25 s","","Spin-coating","1700 rpm 30 s","","Spin-coating","3000 rpm 30 s","","Evaporation","80 nm"
"Bati, Abdulaziz S. R.","2023-01-05","Next-generation applications for integrated perovskite solar cells","https://www.nature.com/articles/s43246-022-00325-4","10.1038/s43246-022-00325-4","SLG | ITO","MoO3","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","AZO","Al","FALSE","","","","","","","","","","","Evaporation","80-120 nm"
"Srivastava, Saurabh","2023-07-11","Advanced spectroscopic techniques for characterizing defects in perovskite solar cells","https://www.nature.com/articles/s43246-023-00379-y","10.1038/s43246-023-00379-y","SLG | ITO","NiOx","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PCBM","Ag","FALSE","pin","","","","","","","","","","Evaporation","80-120 nm"
"Ku, Zhiliang","2013-11-04","Full Printable Processed Mesoscopic CH3NH3PbI3/TiO2 Heterojunction Solar Cells with Carbon Counter Electrode","https://www.nature.com/articles/srep03132","10.1038/srep03132","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Ag","FALSE","nip","","","","","","","","","","Evaporation","80-120 nm"
"Wang, Kuo-Chin","2014-04-23","p-type Mesoscopic Nickel Oxide/Organometallic Perovskite Heterojunction Solar Cells","https://www.nature.com/articles/srep04756","10.1038/srep04756","SLG | ITO","NiO","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PC61BM","Al","FALSE","pin","","","","Spin-coating","","","","","","Evaporation","100 nm"
"Tvingstedt, Kristofer","2014-08-14","Radiative efficiency of lead iodide based perovskite solar cells","https://www.nature.com/articles/srep06071","10.1038/srep06071","SLG | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PCBM","Au","FALSE","pin","Spin-coating","","180 C 30 minutes","","","","Spin-coating","","","Evaporation","60-100 nm"
"Ren, Zhiwei","2014-10-24","Thermal Assisted Oxygen Annealing for High Efficiency Planar CH3NH3PbI3 Perovskite Solar Cells","https://www.nature.com/articles/srep06752","10.1038/srep06752","SLG | FTO","spiro-meotad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Al","FALSE","nip","Spin-coating","","","Spin-coating","","","Spin-coating","","","Evaporation","120 nm"
"Jeon, Ye-Jin","2014-11-07","Planar heterojunction perovskite solar cells with superior reproducibility","https://www.nature.com/articles/srep06953","10.1038/srep06953","SLG | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Al","FALSE","pin","Spin-coating","","110 C 10 min","","","","Spin-coating","1000 rpm 30 s","","Evaporation","100 nm"
"Zhang, Jin","2014-11-07","Energy barrier at the N719-dye/CsSnI3 interface for photogenerated holes in dye-sensitized solar cells","https://www.nature.com/articles/srep06954","10.1038/srep06954","SLG | FTO","spiro-ometad","B-γ-CsSnI3","CsSnI","Cs","1.0","Sn","1.0","I","3.0","TiO2","Ag","FALSE","nip","","","","","","","Spin-coating","","","Evaporation","80-120 nm"
"Li, Dong","2015-01-20","High performance organic-inorganic perovskite-optocoupler based on low-voltage and fast response perovskite compound photodetector","https://www.nature.com/articles/srep07902","10.1038/srep07902","SLG | FTO","spiro-meotad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","4000 rpm 30 s","","","","","Spin-coating","3000 rpm 30 s","500 C 60 min","Evaporation","60 nm"
"Jung, Min-Cherl","2015-05-18","Substantial improvement of perovskite solar cells stability by pinhole-free hole transport layer with doping engineering","https://www.nature.com/articles/srep09863","10.1038/srep09863","SLG | FTO","spiro-ometad","UNKNOWN","","","","","","","","TiO2","Au","FALSE","nip","Spin-coating","2000 rpm 60 s","","Spin-coating","","","Spin-coating","2000 rpm 60 s","","Evaporation","60 nm"
"Wang, Baohua","2015-05-28","Elucidating the Reaction Pathways in the Synthesis of Organolead Trihalide Perovskite for High-Performance Solar Cells","https://www.nature.com/articles/srep10557","10.1038/srep10557","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Ag","FALSE","nip","Spin-coating","5000 rpm 60 s","","Spin-coating","3000 rpm 60 s","","Spin-coating","5000 rpm 60 s","","Evaporation","100 nm"
"Mali, Sawanta S.","2015-06-22","Highly porous Zinc Stannate (Zn2SnO4) nanofibers scaffold photoelectrodes for efficient methyl ammonium halide perovskite solar cells","https://www.nature.com/articles/srep11424","10.1038/srep11424","SLG | FTO","spiro-meotad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","zn2sno4","Au","FALSE","nip","","","","","","","Spin-coating","","350 C 10 min","Evaporation","60-100 nm"
"Tseng, Zong-Liang","2015-09-28","Surface Engineering of ZnO Thin Film for High Efficiency Planar Perovskite Solar Cells","https://www.nature.com/articles/srep13211","10.1038/srep13211","SLG | ITO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","ZnO","Ag","FALSE","nip","Spin-coating","4000 rpm 30 s","","Spin-coating","","","","","","Evaporation","100 nm"
"Tavakoli, Mohammad Mahdi","2015-09-22","Fabrication of efficient planar perovskite solar cells using a one-step chemical vapor deposition method","https://www.nature.com/articles/srep14083","10.1038/srep14083","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","","","","","","","Spin-coating","","550 C 30 min","Evaporation","60-100 nm"
"Huang, Jin-hua","2015-10-29","Direct Conversion of CH3NH3PbI3 from Electrodeposited PbO for Highly Efficient Planar Perovskite Solar Cells","https://www.nature.com/articles/srep15889","10.1038/srep15889","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","4000 rpm 30 s","","Spin-coating","4000 rpm 30 s","150 C 1 h","","","","Evaporation","60-100 nm"
"Su, Tzu-Sen","2015-11-03","Electrodeposited Ultrathin TiO2 Blocking Layers for Efficient Perovskite Solar Cells","https://www.nature.com/articles/srep16098","10.1038/srep16098","SLG | FTO","spiro-ometad","UNKNOWN","","","","","","","","TiO2","Ag","FALSE","nip","Spin-coating","3000 rpm 30 seconds","","","","","Spin-coating","4000 rpm 30 seconds","500 C 30 minutes","Evaporation","80-120 nm"
"Chen, Cong","2015-12-03","Radio Frequency Magnetron Sputtering Deposition of TiO2 Thin Films and Their Perovskite Solar Cell Applications","https://www.nature.com/articles/srep17684","10.1038/srep17684","PET | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","TRUE","nip","Spin-coating","2000 rpm 35 s","","","","","","","","Evaporation","100 nm"
"Jung, Yen-Sook","2016-02-08","Differentially pumped spray deposition as a rapid screening tool for organic and perovskite solar cells","https://www.nature.com/articles/srep20357","10.1038/srep20357","SLG | ITO","P3HT","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PC61BM","Al","FALSE","","Spin-coating","","","Spin-coating","","","","","","Evaporation","100 nm"
"Zhou, Qing","2016-02-16","Enhancing performance and uniformity of CH3NH3PbI3−xClx perovskite solar cells by air-heated-oven assisted annealing under various humidities","https://www.nature.com/articles/srep21257","10.1038/srep21257","SLG | ITO","pedot:pss","UNKNOWN","","","","","","","","PC61BM","Al","FALSE","pin","Spin-coating","2000 rpm 45 s","","Spin-coating","3000 rpm 45 s","100 C 25 min 100 C 35 min","Spin-coating","900 rpm 18 s","","Evaporation","100 nm"
"Kim, Jinhyun","2016-05-09","Solvent and Intermediate Phase as Boosters for the Perovskite Transformation and Solar Cell Performance","https://www.nature.com/articles/srep25648","10.1038/srep25648","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","3000 rpm 45 s","","Spin-coating","2000 rpm 5 s 6000 rpm 5 s","","Spin-coating","2500 rpm 20 s","125 C 5 min","Evaporation","100 nm"
"Kim, Jeongmo","2016-06-09","Stable and null current hysteresis perovskite solar cells based nitrogen doped graphene oxide nanoribbons hole transport layer","https://www.nature.com/articles/srep27773","10.1038/srep27773","SLG | FTO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","ZnO","Al","FALSE","pin","Spin-coating","4000 rpm 30 s","120 C 1 h","Spin-coating","3000 rpm 15 s","","","","","Evaporation","150 nm"
"Wang, Heming","2016-07-14","A composite light-harvesting layer from photoactive polymer and halide perovskite for planar heterojunction solar cells","https://www.nature.com/articles/srep29567","10.1038/srep29567","SLG | ITO","PTB7","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PCBM","Au","FALSE","","Spin-coating","","","Spin-coating","","70 C 8 min","Spin-coating","2000 rpm 30 min","100 C 30 min","Sputtering","10 nm"
"Fan, Ping","2016-07-18","High-performance perovskite CH3NH3PbI3 thin films for solar cells prepared by single-source physical vapour deposition","https://www.nature.com/articles/srep29910","10.1038/srep29910","SLG | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Ag","FALSE","pin","Spin-coating","","","Spin-coating","","","","","","Evaporation","80 nm"
"Kwon, Uisik","2016-07-28","Solution-Processible Crystalline NiO Nanoparticles for High-Performance Planar Perovskite Photovoltaic Cells","https://www.nature.com/articles/srep30759","10.1038/srep30759","SLG | ITO","NiO","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PCBM","Al","FALSE","pin","","","","Spin-coating","","","Spin-coating","","","Evaporation","80 nm"
"Chen, Hsin-Wei","2016-10-04","Efficiency Enhancement of Hybrid Perovskite Solar Cells with MEH-PPV Hole-Transporting Layers","https://www.nature.com/articles/srep34319","10.1038/srep34319","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","3000 rpm 45 s","","Spin-coating","","100 C 90 min","Spin-coating","","125 C 5 min","Evaporation","60-100 nm"
"Barone, C.","2016-10-05","Unravelling the low-temperature metastable state in perovskite solar cells by noise spectroscopy","https://www.nature.com/articles/srep34675","10.1038/srep34675","SLG | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PC61BM","Ag","FALSE","pin","Spin-coating","3000 rpm 30 s","150 C 20 min","Spin-coating","1000 rpm 10 s 2000 rpm 20 s 5000 rpm 20 s","","Spin-coating","2500 rpm 60 s","100 C 10 min","Evaporation","100 nm"
"Liu, Chong","2016-10-18","Highly Efficient Perovskite Solar Cells with Substantial Reduction of Lead Content","https://www.nature.com/articles/srep35705","10.1038/srep35705","SLG | FTO","pedot:pss","MASnI3","MASnI","MA","1.0","Sn","1.0","I","3.0","PCBM","Ag","FALSE","pin","Spin-coating","","140 C 10 min","Spin-coating","","","Spin-coating","","","Evaporation","120 nm"
"Kwon, Uisik","2016-10-27","Investigation into the Advantages of Pure Perovskite Film without PbI2 for High Performance Solar Cell","https://www.nature.com/articles/srep35994","10.1038/srep35994","SLG | FTO","spiro-meotad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","","","Spin-coating","4000 rpm 40 seconds","70 C 5 min","Spin-coating","","500 C 30 min","Evaporation","70 nm"
"Kim, Jeongmo","2016-11-22","Bandgap tuning of mixed organic cation utilizing chemical vapor deposition process","https://www.nature.com/articles/srep37378","10.1038/srep37378","SLG | FTO","WO3","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Ag","FALSE","","Spin-coating","1000 rpm 30 s","80 C 10 min","Spin-coating","","","Spin-coating","1000 rpm 30 s","80 C 10 min","Evaporation","80-120 nm"
"Lee, Sang-Won","2016-12-02","UV Degradation and Recovery of Perovskite Solar Cells","https://www.nature.com/articles/srep38150","10.1038/srep38150","SLG | FTO","spiro-meotad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","","","","","","","Spin-coating","","","Evaporation","100 nm"
"Zhao, Qian","2016-12-09","Improving the photovoltaic performance of perovskite solar cells with acetate","https://www.nature.com/articles/srep38670","10.1038/srep38670","SLG | FTO","spiro-meotad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Ag","FALSE","nip","","","","Spin-coating","2000 rpm 60 s","150 C 5 min","Spin-coating","4000 rpm 30 s","450 C 60 min","Evaporation","65 nm"
"Shi, Tongfei","2016-12-20","Ti/Au Cathode for Electronic transport material-free organic-inorganic hybrid perovskite solar cells","https://www.nature.com/articles/srep39132","10.1038/srep39132","SLG | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PCBM","Au","FALSE","pin","Spin-coating","","120 C 30 min","Spin-coating","","","Spin-coating","","","Evaporation","60-100 nm"
"Kiermasch, David","2016-12-16","Improved charge carrier lifetime in planar perovskite solar cells by bromine doping","https://www.nature.com/articles/srep39333","10.1038/srep39333","SLG | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","pin","Spin-coating","","","Spin-coating","","","","","","Evaporation","60-100 nm"
"Jiang, Xiaoqing","2017-02-13","High-Performance Regular Perovskite Solar Cells Employing Low-Cost Poly(ethylenedioxythiophene) as a Hole-Transporting Material","https://www.nature.com/articles/srep42564","10.1038/srep42564","SLG | FTO","PEDOT","(FAPbI3)0.85(MAPbBr3)0.15","FAPbIMAPbBr","MA, FA","0.15, 0.85","Pb, Pb","0.15, 0.85","Br, I","0.45, 2.55","TiO2","carbon","FALSE","pin","Spin-coating","3000 rpm 30 s","","Spin-coating","","","Spray pyrolysis","","","Doctor blading",""
"Tu, Yongguang","2017-03-17","Modulated CH3NH3PbI3−xBrx film for efficient perovskite solar cells exceeding 18%","https://www.nature.com/articles/srep44603","10.1038/srep44603","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","4000 rpm 30 s","","","","","Spin-coating","500 rpm 5 s","","Evaporation","80 nm"
"Li, Yan","2017-04-12","Ultra-high open-circuit voltage of perovskite solar cells induced by nucleation thermodynamics on rough substrates","https://www.nature.com/articles/srep46141","10.1038/srep46141","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","ZnO","Au","FALSE","nip","Spin-coating","3000 rpm 30 s","100 C 30 min","Spin-coating","4000 rpm 10 s","","","","","Evaporation","60-100 nm"
"Sun, Yong","2017-04-06","Triple-cation mixed-halide perovskites: towards efficient, annealing-free and air-stable solar cells enabled by Pb(SCN)2 additive","https://www.nature.com/articles/srep46193","10.1038/srep46193","PET | ITO","pedot:pss","FAPbI3","FAPbI","FA","1.0","Pb","1.0","I","3.0","PC61BM","Al","TRUE","pin","Spin-coating","5000 rpm 60 s","","Spin-coating","4000 rpm 30 s","","Spin-coating","3000 rpm 30 s","","Evaporation","80 nm"
"Yang, Yingguo","2017-04-21","Annealing Induced Re-crystallization in CH3NH3PbI3−xClx for High Performance Perovskite Solar Cells","https://www.nature.com/articles/srep46724","10.1038/srep46724","SLG | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","Bphen","Ag","FALSE","pin","Spin-coating","4500 rpm 60 s","","Spin-coating","4000 rpm 40 s","","","","","Evaporation","100 nm"
"Matthew J. Carnie","2013/07/22","A one-step low temperature processing route for organolead halide perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2013/cc/c3cc44177f","10.1039/C3CC44177F","SLG | ITO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","Al2O3","Au","FALSE","","","","","","","","","","","Evaporation","60-100 nm"
"F. Matteocci","2014/01/07","Solid-state solar modules based on mesoscopic organometal halide perovskite: a route towards the up-scaling process  ","https://pubs.rsc.org/en/content/articlehtml/2014/cp/c3cp55313b","10.1039/C3CP55313B","SLG | FTO","P3HT","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","TRUE","","Spin-coating","600 rpm 12 s","","","","","Spin-coating","2000 rpm 40 s","120 C 45 minutes","Evaporation","150 nm"
"Bing Cai","2013/03/11","High performance hybrid solar cells sensitized by organolead halide perovskites  ","https://pubs.rsc.org/en/content/articlehtml/2013/ee/c3ee40343b","10.1039/C3EE40343B","SLG | FTO","P3HT","MAPbBr3","MAPbBr","MA","1.0","Pb","1.0","Br","3.0","TiO2","Au","FALSE","","Spin-coating","3000 rpm 40 s","","","","","Spin-coating","2000 rpm 40 s","100 C 15 min","Evaporation","60-100 nm"
"James M. Ball","2013/03/28","Low-temperature processed meso-superstructured to thin-film perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2013/ee/c3ee40810h","10.1039/C3EE40810H","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","Al2O3","Ag","FALSE","","","","","","","","","","","Evaporation","80-120 nm"
"Waleed Abu Laban","2013/09/04","Depleted hole conductor-free lead halide iodide heterojunction solar cells ","https://pubs.rsc.org/en/content/articlehtml/2013/ee/c3ee42282h","10.1039/C3EE42282H","UNKNOWN","spiro-meotad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","","","","Spin-coating","2000 rpm 30 s","","Spin-coating","","500 C 30 min","Evaporation","60-100 nm"
"Shuangyong Sun","2013/10/23","The origin of high efficiency in low-temperature solution-processable bilayer organometal halide hybrid solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2014/ee/c3ee43161d","10.1039/C3EE43161D","SLG | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PC61BM","Al","FALSE","pin","","","","Spin-coating","3000 rpm 40 s","100 C 30 s","Spin-coating","1200 rpm 60 s","","Evaporation","100 nm"
"Cristina Roldán-Carmona","2014/01/17","Flexible high efficiency perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2014/ee/c3ee43619e","10.1039/C3EE43619E","PET | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","AZO","Au","TRUE","pin","Spin-coating","","","","","","","","","Evaporation","80-120 nm"
"Young Soo Kwon","2014/01/27","A diketopyrrolopyrrole-containing hole transporting conjugated polymer for use in efficient stable organic–inorganic hybrid solar cells based on a perovskite  ","https://pubs.rsc.org/en/content/articlehtml/2014/ee/c3ee44174a","10.1039/C3EE44174A","SLG | FTO","spiro-meotad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","","","","Spin-coating","2000 rpm 60 s 3000 rpm 60 s","","Spin-coating","2500 rpm 40 s","","Evaporation","60-100 nm"
"Jianhang Qiu","2013/03/04","All-solid-state hybrid solar cells based on a new organometal halide perovskite sensitizer and one-dimensional TiO 2  nanowire arrays  ","https://pubs.rsc.org/en/content/articlehtml/2013/nr/c3nr00218g","10.1039/C3NR00218G","SLG | FTO","spiro-meotad","MAPbI2Br","MAPbIBr","MA","1.0","Pb","1.0","Br, I","1.0, 2.0","TiO2","Au","FALSE","nip","","","","Spin-coating","","","Spin-coating","3000 rpm 30 s","550 C 30 min","Evaporation","50 nm"
"Dongqin Bi","2013/09/06","Efficient and stable CH 3 NH 3 PbI 3 -sensitized ZnO nanorod array solid-state solar cells ","https://pubs.rsc.org/en/content/articlehtml/2013/nr/c3nr01542d","10.1039/C3NR01542D","SLG | FTO","spiro-meotad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","ZnO","Ag","FALSE","nip","Spin-coating","","","","","","","","","Evaporation","200 nm"
"Sabba Dharani","2013/10/14","High efficiency electrospun TiO 2 nanofiber based hybrid organic–inorganic perovskite solar cell  ","https://pubs.rsc.org/en/content/articlehtml/2014/nr/c3nr04857h","10.1039/C3NR04857H","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","","","","","","","","","Evaporation","60-100 nm"
"Jung Tae Park","2013/12/12","Improved electron transfer and plasmonic effect in dye-sensitized solar cells with bi-functional Nb-doped TiO 2 /Ag ternary nanostructures  ","https://pubs.rsc.org/en/content/articlehtml/2014/nr/c3nr05652j","10.1039/C3NR05652J","SLG | FTO","spiro-meotad","CsSnI3","CsSnI","Cs","1.0","Sn","1.0","I","3.0","TiO2","Cu","FALSE","nip","","","","","","","","","","Evaporation",""
"Peng Qin","2013/11/06","Yttrium-substituted nanocrystalline TiO 2 photoanodes for perovskite based heterojunction solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2014/nr/c3nr05884k","10.1039/C3NR05884K","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","","","Spin-coating","1500 rpm 30 s","100 C 10 min","Spin-coating","2000 rpm 30 s","","Evaporation","70 nm"
"Dongqin Bi","2013/07/24","Using a two-step deposition technique to prepare perovskite (CH 3 NH 3 PbI 3 ) for thin film solar cells based on ZrO 2 and TiO 2 mesostructures  ","https://pubs.rsc.org/en/content/articlehtml/2013/ra/c3ra43228a","10.1039/C3RA43228A","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Ag","FALSE","nip","Spin-coating","","","Spin-coating","","","Spin-coating","","","Evaporation","200 nm"
"Abhik Banerjee","2013/11/27","Nickel cobalt sulfide nanoneedle array as an effective alternative to Pt as a counter electrode in dye sensitized solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2014/ra/c3ra45981k","10.1039/C3RA45981K","SLG | FTO","nico2o4","CsSnI3","CsSnI","Cs","1.0","Sn","1.0","I","3.0","TiO2","carbon","FALSE","","","","","","","","","","","Evaporation",""
"K. Manseki","2014/01/29","Mg-doped TiO 2 nanorods improving open-circuit voltages of ammonium lead halide perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2014/ra/c3ra47870j","10.1039/C3RA47870J","SLG | FTO","P3HT","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","","","","","","","","Spin-coating","","","Evaporation","60-100 nm"
"Miquel Planells","2013/05/01","Diacetylene bridged triphenylamines as hole transport materials for solid state dye sensitized solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2013/ta/c3ta11417a","10.1039/C3TA11417A","SLG | ITO","spiro-ometad","UNKNOWN","","","","","","","","TiO2","Ag","FALSE","nip","Spin-coating","1000 rpm 45 s","","","","","","","","Evaporation","80-120 nm"
"Jun Hong Noh","2013/07/19","Nanostructured TiO 2 /CH 3 NH 3 PbI 3 heterojunction solar cells employing spiro-OMeTAD/Co-complex as hole-transporting material ","https://pubs.rsc.org/en/content/articlehtml/2013/ta/c3ta12681a","10.1039/C3TA12681A","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","3000 rpm 120 s","","","","","Spin-coating","2000 rpm 60 s","","Evaporation","60-100 nm"
"Guangda Niu","2013/11/04","Study on the stability of CH 3 NH 3 PbI 3 films and the effect of post-modification by aluminum oxide in all-solid-state hybrid solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2014/ta/c3ta13606j","10.1039/C3TA13606J","SLG | FTO","spiro-meotad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","3000 rpm 30 s","","Spin-coating","2000 rpm 60 s 3000 rpm 60 s","100 C 10 min","Spin-coating","3000 rpm 30 s","500 C 1 h","Evaporation","50 nm"
"Junjie Wang","2014/03/24","Novel hole transporting materials with a linear π-conjugated structure for highly efficient perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2014/cc/c4cc01637h","10.1039/C4CC01637H","SLG | FTO","2tpa-2-dp","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","","Spin-coating","4000 rpm 30 s","","","","","Spin-coating","","","Evaporation","80-120 nm"
